	doc_id	adjudicator_id	label	text
635	636	kaikeins	E	What movie title was translated in China as I Am That Guy From Seinfeld So Its Acceptable for Straight People to Enjoy This Gay Movie?
268	269	mhannon	E	In what US state was magician David Copperfield born?
305	306	mhannon	AL	What does the word trilobite mean?
901	902	ehansellbaum	E	The 1997 Spanish movie Abre los ojos was remade in 2001 and starred this actress in both releases.
950	951	ehansellbaum	H	The scepter of the British monarch includes one of the largest diamonds in the world, the Cullinan I.
54	55	ehansellbaum	H	Known as Old Rough and Ready, he was elected president of the US partly because he gained fame by victories over the Mexicans in northern Mexico during the Mexican–American War.
35	36	ehansellbaum	AL	Who wrote The Mephisto Club, The Apprentice, and The Surgeon?
502	503	kaikeins	AL	In Harry Potter and the Chamber of Secrets, Harry, Hermione, and Ron drink Polyjuice Potion, so they can sneak into the Slytherin common room and find out if Draco is the heir of Slytherin. Harry and Ron successfully turn into Crabbe and Goyle, but Hermione turns into what kind of animal by mistake?
370	371	mhannon	SL	The clue words are Small, Fly, Wheel, Regulates, Speed and Spinning. Guess the password.
690	691	thientran	E	Actor Peter Graves is the older brother of James Arness, popular for portraying Marshal Matt Dillon on the drama series Gunsmoke.
731	732	thientran	E	What movie title was translated in Japan as I Love My Dad The Best In The World?
700	701	thientran	E	In KF, what is the perk in which one can do the most damage with the flame thrower?
521	522	kaikeins	E	During WWII Errol Flynn tried to enlist in the US armed forces.
421	422	kaikeins	G	What is the other name of the Indonesian archipelago known as the Maluku Islands?
365	366	mhannon	G	Which of these nicknames refers to the U.S. state of Delaware?
705	706	thientran	AL	Apart from George Orwells novel 1984, which novel by G.K .Chesterton, is set in the year 1984?
640	641	kaikeins	H	This pharaoh, commonly known as Cheops, ruled from 2589 to 2566 B.C.
657	658	thientran	G	The Prater is a large building in Vienna, Austria.
870	871	thientran	AL	What Impressionist painter created Peasant Woman Carrying Two Bundles of Hay?
471	472	kaikeins	SN	Which of these is characteristic of a supercell?
69	70	ehansellbaum	G	Which mountain is the highest in the Andes?
87	88	ehansellbaum	E	France also turned this short title into The Young People Who Traverse Dimensions While Wearing Sunglasses. If you saw the movie and its sequels, recognition will come quickly. If not, guess.
198	199	ehansellbaum	SL	Rice is the main ingredient of sushi.
418	419	kaikeins	H	Who first popularized New York Citys famous nickname The Big Apple?
814	815	thientran	E	In classical chamber music, these four instruments make up a string quartet.
842	843	thientran	AL	What is the name of Harry Potters brilliant female best friend?
499	500	kaikeins	AL	This was the first major art movement of the 20th century. It featured wild, brush strokes, abstract and distorted images from nature, painted in unnatural colors. Matisse and Braque were involved in this movement for a short amount of time.
339	340	mhannon	E	What actor stars as retired jewel thief opposite Grace Kelly in Alfred Hitchcocks romantic thriller To Catch a Thief?
